DateTime,"Melter Gas Flow Valve Opening  _DB885,DD670,QC","Header Gas Pressure -Gail_DB1367,DD0,QC","ThermoCouple Flue Pass left Inner _DB872,DD0,QC","ThermoCouple Flue Pass left outer _DB874,DD0,QC","ThermoCouple Flue Pass Right Inner _DB876,DD0,QC","ThermoCouple Flue Pass Right outer _DB879,DD0,QC","Glass level_DB1177,DD0,QC","Fibber Optic Thermometer -Distributer-zone -2_DB719,DD134,QC","Fibber Optic Thermometer -Distributer-zone -6_DB731,DD134,QC","High Pressure M/C-61_DB668,DD134,QC","High Pressure M/C-65_DB691,DD134,QC","ThermoCouple Regenratore Right_DB868,DD0,QC","ThermoCouple melter bottom -2_DB858,DD0,QC","Melter Gas Flow Setpoint _DB885,DD726,QC","Fiber Optic Thermometer -F/H65- Middle_DB189,DD134,QC","ThermoCouple melter Crown -1_DB845,DD0,QC","Throat cooling blower Pressure _DB837,DD134,QC",chem_comp_SiO2,chem_comp_Al2O3,chem_comp_Fe2O3,chem_comp_CaO,chem_comp_MgO,chem_comp_Na2O,chem_comp_K2O,chem_comp_SO3,physical_test_density_gm_cc,physical_test_seed_count_result,,"Melter Gas flow_DB885,DD134,QC"
39:57.4,47.50586319,1.908637166,131.8000031,114.9000015,468.3999939,496.5,0,1329.267944,1372.598389,40.85503769,39.77864838,1345.700073,1260.599976,815,1241.796875,1478.700073,249.1590729,70.16,2.17,0.0199,8.34,2.05,13.6,1.31,0.233,2.5099,14,,811.848999
50:57.4,46.09783936,1.901475668,362.8000183,527.7000122,301.3999939,282.2000122,0.015625,1329.137695,1372.526001,40.96354294,39.96527863,1316.599976,1260.5,815,1242.158569,1479.400024,251.8084412,70.2,2.17,0.0207,8.35,2.08,13.63,1.29,0.224,2.5103,10,,811.9575195
01:57.4,46.10490036,1.912977457,467.5,567.7000122,169.1999969,146,0.034722328,1329.557251,1372.424805,40.98524475,39.8611145,1301.099976,1260.300049,815,1241.825806,1485.5,249.7829895,70.12,2.16,0.021,8.31,2.12,13.62,1.31,0.237,2.5088,9,,816.3520508
12:57.4,46.97984314,1.912977457,228.1999969,192.6999969,378,417.8999939,0.019676208,1330.266235,1372.352417,40.94184113,40.16276169,1335.400024,1260.200073,815,1242.129639,1478.200073,250.4611511,70.03,2.18,0.022,8.46,2.06,13.64,1.31,0.238,2.5105,12,,818.142395
23:57.4,47.73218536,1.900390625,118.7000046,108.5,480.5,504.8999939,0.050926208,1330.758057,1372.482666,41.01562881,40.08680725,1349.300049,1260.200073,815,1242.158569,1477.099976,249.1319427,70.13,2.12,0.022,8.48,2.05,13.65,1.3,0.237,2.5116,12,,809.8416138
34:57.4,46.23616791,1.906901002,406.7000122,545.2999878,260.6000061,237.8000031,-0.019675732,1330.714722,1372.164307,40.96788406,40.00868225,1312.300049,1260.400024,815,1241.739014,1478,248.8335419,70.29,2.24,0.02,8.19,2.15,13.52,1.25,0.235,2.5109,12,,811.0894165
45:57.4,5,1.926432252,472.5,567.5,153.9000092,132.8000031,0,1330.164917,1372.03418,41.11545181,40.11067963,1299.5,1260.400024,815,1242.1875,1486.099976,250.8680573,70.32,2.33,0.019,8.16,2.17,13.55,1.25,0.235,2.5113,11,,99.44661713
02:57.4,47.28588104,1.914496541,133.3000031,117.0999985,467.8000183,496.1000061,0.027198792,1329.282471,1372.019653,40.95269394,40.11502075,1345.400024,1260.5,815,1241.941528,1477.300049,250.985611,70.29,2.26,0.0224,8.12,2.05,13.69,1.16,0.234,2.5072,11,,814.6159058
19:57.4,46.73160934,1.899305582,441.2000122,559,215.8000031,191.3000031,0.015625,1329.716431,1371.961792,41.00911713,39.8046875,1307.300049,1260.400024,815,1241.956055,1480.700073,250.054245,70.39,2.33,0.027,8,2.16,13.59,1.12,0.24,2.5063,12,,811.7404785
30:57.4,47.70978546,1.904730916,357.3999939,350.5,241.6999969,254,0.046875,1330.121582,1372.207764,40.90060806,40.04557419,1316.900024,1260.300049,815,1242.086182,1479.200073,250.4430695,70.25,2.25,0.028,8.15,2.11,13.64,1.12,0.234,2.5063,14,,810.4926758
43:57.4,47.10450363,1.906033039,138.1000061,119,463.8000183,494.1000061,0.074073792,1330.251709,1372.077515,40.85503769,39.84809113,1344.200073,1260.300049,815,1241.869141,1476.400024,249.6383057,70.67,2.17,0.026,8.02,2.17,13.6,1.04,0.23,2.5092,12,,818.6849365
56:57.4,46.10235977,1.903211832,385.7000122,536.7999878,280.5,259,-0.00810194,1330.179443,1372.019653,41.02213669,39.96961975,1314.400024,1260.300049,815,1241.941528,1477.400024,252.7488403,70.36,2.15,0.022,8.24,2.19,13.68,1.03,0.23,2.5103,13,,814.9956665
11:57.4,47.54312134,1.907335043,378.7000122,383.2000122,219.6000061,225.5,0.074652672,1330.222778,1372.280029,40.90929031,39.84809113,1313.099976,1260.200073,815,1241.941528,1481.900024,250.8409271,70.31,2.13,0.0226,8.26,2.25,13.58,1.04,0.234,2.5105,11,,810.1671143
24:57.4,47.2407341,1.909288168,142.1000061,122.5,459.1000061,493.7000122,0.004051208,1329.962402,1372.106445,40.98741531,40.74219131,1343.200073,1260,820,1244.849487,1474.300049,250.7324219,70.4,2.06,0.02,8.3,2.2,13.67,1.01,0.226,2.5017,10,,820.963562
37:57.4,46.11236191,1.905164957,376.5,531.7999878,290.6000061,271.7000122,-0.0625,1329.701904,1372.077515,41.1219635,39.85677338,1314.700073,1260.5,820,1249.204346,1474.400024,249.1952362,70.2,2.13,0.021,8.48,2.08,13.62,1.03,0.233,2.5103,14,,819.6072388
49:57.4,46.4909668,1.907335043,472.1000061,570.2000122,158.6999969,136.8000031,0.027198792,1329.629639,1372.222168,40.78993225,37.79296875,1299.300049,1260.599976,820,1251.258667,1480.300049,248.6979218,70.05,2.13,0.021,8.34,2.19,13.74,1.03,0.22,2.5105,16,,819.3359375
02:57.4,47.25687027,1.915798664,176.1999969,146,428.8000183,468.7000122,0.034722328,1329.861084,1372.323486,40.98307419,40.31901169,1337.800049,1260.599976,820,1252.445068,1472.200073,249.6925659,70.1,2.15,0.0206,8.37,2.2,13.61,1.04,0.219,2.5106,14,,825.4666138
15:57.4,46.18624496,1.904079914,271.6000061,444.6000061,369.6000061,363.3999939,0.107639313,1330.222778,1372.395752,41.13715363,39.95442963,1325.200073,1260.599976,820,1254.615112,1472.099976,252.7488403,70.05,2.12,0.0197,8.48,2.15,13.67,1.05,0.22,2.5116,16,,819.1189575
